venue,teamplaying,groundavgscore,teamavgscore,matchscore
"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,129,156,151
Brabourne Stadium,Mumbai Indians,190,173,34
"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,156,159,139
Sawai Mansingh Stadium,Rajasthan Royals,151,185,130
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,112
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,171,171,174
M Chinnaswamy Stadium,Mumbai Indians,184,173,191
Eden Gardens,Rajasthan Royals,164,185,132
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,171,171,192
Feroz Shah Kotla,Deccan Chargers,166,156,145
Eden Gardens,Mumbai Indians,164,173,133
Dr DY Patil Sports Academy,Mumbai Indians,131,173,184
Dr DY Patil Sports Academy,Chennai Super Kings,131,137,142
Dr DY Patil Sports Academy,Deccan Chargers,131,156,82
Dr DY Patil Sports Academy,Chennai Super Kings,131,137,168
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,153
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,144,156,137
Nehru Stadium,Kochi Tuskers Kerala,146,154,161
Feroz Shah Kotla,Delhi Daredevils,166,140,95
Dr DY Patil Sports Academy,Kings XI Punjab,131,171,112
Eden Gardens,Kolkata Knight Riders,164,159,163
Sawai Mansingh Stadium,Delhi Daredevils,151,140,151
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,140
"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,131,137,188
Dr DY Patil Sports Academy,Kochi Tuskers Kerala,131,154,148
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,144,156,175
Sawai Mansingh Stadium,Rajasthan Royals,151,185,159
Wankhede Stadium,Mumbai Indians,166,173,182
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,183
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,144,156,165
Dr DY Patil Sports Academy,Pune Warriors,131,163,187
Eden Gardens,Rajasthan Royals,164,185,81
Nehru Stadium,Chennai Super Kings,146,137,131
Feroz Shah Kotla,Deccan Chargers,166,156,168
Wankhede Stadium,Pune Warriors,166,163,118
Eden Gardens,Kochi Tuskers Kerala,164,154,132
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,195
Wankhede Stadium,Mumbai Indians,166,173,164
Eden Gardens,Kolkata Knight Riders,164,159,171
Feroz Shah Kotla,Delhi Daredevils,166,140,231
"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,144,173,172
Sawai Mansingh Stadium,Kochi Tuskers Kerala,151,154,109
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,142
Feroz Shah Kotla,Delhi Daredevils,166,140,160
Dr DY Patil Sports Academy,Pune Warriors,131,163,141
Nehru Stadium,Deccan Chargers,146,156,129
Feroz Shah Kotla,Kolkata Knight Riders,166,159,148
Sawai Mansingh Stadium,Mumbai Indians,151,173,94
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,181
Nehru Stadium,Delhi Daredevils,146,140,157
Eden Gardens,Kings XI Punjab,164,171,119
Sawai Mansingh Stadium,Pune Warriors,151,163,143
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,165
Wankhede Stadium,Mumbai Indians,166,173,159
Feroz Shah Kotla,Delhi Daredevils,166,140,140
"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,144,159,169
"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,156,185,147
Dr DY Patil Sports Academy,Mumbai Indians,131,173,160
Nehru Stadium,Kochi Tuskers Kerala,146,154,156
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,144,156,175
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,205
Eden Gardens,Chennai Super Kings,164,137,114
Wankhede Stadium,Mumbai Indians,166,173,178
M Chinnaswamy Stadium,Kochi Tuskers Kerala,184,154,125
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,119
Sawai Mansingh Stadium,Chennai Super Kings,151,137,196
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,144,156,136
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,163
Sawai Mansingh Stadium,Rajasthan Royals,151,185,146
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,176
Holkar Cricket Stadium,Kochi Tuskers Kerala,129,154,178
M Chinnaswamy Stadium,Kolkata Knight Riders,184,159,89
Wankhede Stadium,Deccan Chargers,166,156,135
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,171,171,170
Holkar Cricket Stadium,Rajasthan Royals,129,185,97
Dr DY Patil Sports Academy,Pune Warriors,131,163,136
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,171,171,232
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,152
Dr DY Patil Sports Academy,Pune Warriors,131,163,118
Wankhede Stadium,Mumbai Indians,166,173,133
Himachal Pradesh Cricket Association Stadium,Deccan Chargers,171,156,198
M Chinnaswamy Stadium,Chennai Super Kings,184,137,128
Eden Gardens,Kolkata Knight Riders,164,159,175
Wankhede Stadium,Royal Challengers Bangalore,166,208,175
Wankhede Stadium,Kolkata Knight Riders,166,159,147
"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,156,208,185
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,205
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,112
Eden Gardens,Kolkata Knight Riders,164,159,97
Wankhede Stadium,Pune Warriors,166,163,129
Sawai Mansingh Stadium,Rajasthan Royals,151,185,191
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,157
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,159,137,193
Sawai Mansingh Stadium,Rajasthan Royals,151,185,164
Subrata Roy Sahara Stadium,Pune Warriors,154,163,166
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,159,156,138
M Chinnaswamy Stadium,Kolkata Knight Riders,184,159,165
Feroz Shah Kotla,Chennai Super Kings,166,137,110
Wankhede Stadium,Mumbai Indians,166,173,197
"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,156,208,205
"Punjab Cricket Association Stadium, Mohali",Pune Warriors,131,163,115
Eden Gardens,Rajasthan Royals,164,185,131
Feroz Shah Kotla,Deccan Chargers,166,156,157
Subrata Roy Sahara Stadium,Chennai Super Kings,154,137,155
Eden Gardens,Kings XI Punjab,164,171,134
M Chinnaswamy Stadium,Rajasthan Royals,184,185,195
Wankhede Stadium,Mumbai Indians,166,173,92
Sawai Mansingh Stadium,Deccan Chargers,151,156,196
M Chinnaswamy Stadium,Pune Warriors,184,163,182
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,124
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,144,156,187
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,164
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,163
"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,156,185,146
Feroz Shah Kotla,Pune Warriors,166,163,192
Wankhede Stadium,Mumbai Indians,166,173,162
Barabati Stadium,Deccan Chargers,156,156,126
Sawai Mansingh Stadium,Royal Challengers Bangalore,151,208,189
Subrata Roy Sahara Stadium,Pune Warriors,154,163,146
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,168
Subrata Roy Sahara Stadium,Deccan Chargers,154,156,177
Feroz Shah Kotla,Delhi Daredevils,166,140,207
"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,156,171,156
Eden Gardens,Kolkata Knight Riders,164,159,190
Feroz Shah Kotla,Delhi Daredevils,166,140,152
Wankhede Stadium,Deccan Chargers,166,156,100
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,139
Barabati Stadium,Deccan Chargers,156,156,186
Sawai Mansingh Stadium,Rajasthan Royals,151,185,141
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,158
Subrata Roy Sahara Stadium,Mumbai Indians,154,173,120
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,160
Eden Gardens,Kolkata Knight Riders,164,159,150
"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,131,185,177
Wankhede Stadium,Chennai Super Kings,166,137,173
M Chinnaswamy Stadium,Deccan Chargers,184,156,181
Feroz Shah Kotla,Delhi Daredevils,166,140,153
Subrata Roy Sahara Stadium,Pune Warriors,154,163,125
"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,144,171,170
Wankhede Stadium,Mumbai Indians,166,173,141
Sawai Mansingh Stadium,Rajasthan Royals,151,185,126
Subrata Roy Sahara Stadium,Royal Challengers Bangalore,154,208,173
Eden Gardens,Mumbai Indians,164,173,182
"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,156,140,114
Sawai Mansingh Stadium,Rajasthan Royals,151,185,170
"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,131,156,190
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,28
Eden Gardens,Kolkata Knight Riders,164,159,158
Feroz Shah Kotla,Kings XI Punjab,166,171,136
Wankhede Stadium,Kolkata Knight Riders,166,159,140
Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,171,137,120
Feroz Shah Kotla,Royal Challengers Bangalore,166,208,215
"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,144,185,126
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,171,171,141
Subrata Roy Sahara Stadium,Kolkata Knight Riders,154,159,136
"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,144,156,132
Sawai Mansingh Stadium,Rajasthan Royals,151,185,162
Subrata Roy Sahara Stadium,Kolkata Knight Riders,154,159,162
M Chinnaswamy Stadium,Chennai Super Kings,184,137,187
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,222
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,190
Eden Gardens,Delhi Daredevils,164,140,128
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,156
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,126
Feroz Shah Kotla,Rajasthan Royals,166,185,165
"MA Chidambaram Stadium, Chepauk",Mumbai Indians,156,173,148
Subrata Roy Sahara Stadium,Pune Warriors,154,163,99
"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,144,208,130
Sawai Mansingh Stadium,Rajasthan Royals,151,185,144
Wankhede Stadium,Mumbai Indians,166,173,209
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,138
M Chinnaswamy Stadium,Kolkata Knight Riders,184,159,154
Subrata Roy Sahara Stadium,Rajasthan Royals,154,185,145
Feroz Shah Kotla,Delhi Daredevils,166,140,114
Wankhede Stadium,Mumbai Indians,166,173,183
"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,156,208,165
Eden Gardens,Kolkata Knight Riders,164,159,180
Sawai Mansingh Stadium,Kings XI Punjab,151,171,124
"MA Chidambaram Stadium, Chepauk",Pune Warriors,156,163,159
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,157
M Chinnaswamy Stadium,Delhi Daredevils,184,140,152
Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,170,153,119
Sawai Mansingh Stadium,Rajasthan Royals,151,185,179
Feroz Shah Kotla,Chennai Super Kings,166,137,169
"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,144,171,123
Eden Gardens,Kolkata Knight Riders,164,159,119
M Chinnaswamy Stadium,Rajasthan Royals,184,185,117
Feroz Shah Kotla,Mumbai Indians,166,173,161
"Punjab Cricket Association Stadium, Mohali",Pune Warriors,131,163,185
"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,156,185,185
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,263
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,171,171,171
Eden Gardens,Kolkata Knight Riders,164,159,159
"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,156,153,159
Eden Gardens,Kings XI Punjab,164,171,149
Sawai Mansingh Stadium,Sunrisers Hyderabad,151,153,144
Wankhede Stadium,Mumbai Indians,166,173,194
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,200
Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,140,140,164
Sawai Mansingh Stadium,Royal Challengers Bangalore,151,208,171
Wankhede Stadium,Mumbai Indians,166,173,174
Subrata Roy Sahara Stadium,Chennai Super Kings,154,137,164
"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,144,173,129
Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,140,159,136
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,186
Subrata Roy Sahara Stadium,Royal Challengers Bangalore,154,208,187
Eden Gardens,Rajasthan Royals,164,185,132
"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,144,140,80
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,174
Wankhede Stadium,Mumbai Indians,166,173,139
Sawai Mansingh Stadium,Pune Warriors,151,163,178
M Chinnaswamy Stadium,Sunrisers Hyderabad,184,153,161
Sawai Mansingh Stadium,Delhi Daredevils,151,140,154
Wankhede Stadium,Mumbai Indians,166,173,170
"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,144,137,223
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,145
Subrata Roy Sahara Stadium,Kolkata Knight Riders,154,159,152
Feroz Shah Kotla,Royal Challengers Bangalore,166,208,183
Subrata Roy Sahara Stadium,Pune Warriors,154,163,112
"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,131,153,150
JSCA International Stadium Complex,Royal Challengers Bangalore,150,208,115
Sawai Mansingh Stadium,Chennai Super Kings,151,137,141
Feroz Shah Kotla,Delhi Daredevils,166,140,120
Wankhede Stadium,Sunrisers Hyderabad,166,153,178
JSCA International Stadium Complex,Pune Warriors,150,163,170
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,168
Wankhede Stadium,Mumbai Indians,166,173,166
"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,131,208,190
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,136
Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,171,171,183
Subrata Roy Sahara Stadium,Pune Warriors,154,163,172
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,106
"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,144,159,130
Feroz Shah Kotla,Chennai Super Kings,166,137,192
Feroz Shah Kotla,Sunrisers Hyderabad,166,153,132
Eden Gardens,Rajasthan Royals,164,185,165
Eden Gardens,Mumbai Indians,164,173,148
Sheikh Zayed Stadium,Kolkata Knight Riders,138,159,163
Sharjah Cricket Stadium,Delhi Daredevils,145,140,145
Sheikh Zayed Stadium,Chennai Super Kings,138,137,205
Sheikh Zayed Stadium,Sunrisers Hyderabad,138,153,133
Dubai International Cricket Stadium,Mumbai Indians,154,173,115
Dubai International Cricket Stadium,Kolkata Knight Riders,154,159,166
Sharjah Cricket Stadium,Rajasthan Royals,145,185,191
Sheikh Zayed Stadium,Chennai Super Kings,138,137,177
Sharjah Cricket Stadium,Kings XI Punjab,145,171,193
Dubai International Cricket Stadium,Chennai Super Kings,154,137,117
Sharjah Cricket Stadium,Kolkata Knight Riders,145,159,150
Dubai International Cricket Stadium,Sunrisers Hyderabad,154,153,184
Dubai International Cricket Stadium,Mumbai Indians,154,173,141
Sheikh Zayed Stadium,Royal Challengers Bangalore,138,208,70
Sheikh Zayed Stadium,Kings XI Punjab,138,171,132
Sharjah Cricket Stadium,Mumbai Indians,145,173,125
Sharjah Cricket Stadium,Sunrisers Hyderabad,145,153,145
Dubai International Cricket Stadium,Royal Challengers Bangalore,154,208,124
Sheikh Zayed Stadium,Rajasthan Royals,138,185,152
Dubai International Cricket Stadium,Sunrisers Hyderabad,154,153,172
JSCA International Stadium Complex,Chennai Super Kings,150,137,148
Wankhede Stadium,Kings XI Punjab,166,171,168
Feroz Shah Kotla,Delhi Daredevils,166,140,152
M Chinnaswamy Stadium,Sunrisers Hyderabad,184,153,155
"Sardar Patel Stadium, Motera",Rajasthan Royals,153,185,170
Feroz Shah Kotla,Delhi Daredevils,166,140,178
Wankhede Stadium,Mumbai Indians,166,173,187
Feroz Shah Kotla,Delhi Daredevils,166,140,160
Barabati Stadium,Kings XI Punjab,156,171,231
"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,153,153,134
M Chinnaswamy Stadium,Kings XI Punjab,184,171,198
Feroz Shah Kotla,Delhi Daredevils,166,140,143
Wankhede Stadium,Mumbai Indians,166,173,157
Barabati Stadium,Kings XI Punjab,156,171,149
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,190
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,157
JSCA International Stadium Complex,Rajasthan Royals,150,185,148
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,186
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,205
Barabati Stadium,Mumbai Indians,156,173,141
"Sardar Patel Stadium, Motera",Rajasthan Royals,153,185,201
JSCA International Stadium Complex,Chennai Super Kings,150,137,138
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,142
"Sardar Patel Stadium, Motera",Mumbai Indians,153,173,178
Feroz Shah Kotla,Delhi Daredevils,166,140,164
"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,144,208,160
Eden Gardens,Chennai Super Kings,164,137,154
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,156
Eden Gardens,Kolkata Knight Riders,164,159,195
JSCA International Stadium Complex,Chennai Super Kings,150,137,185
Wankhede Stadium,Mumbai Indians,166,173,173
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,179
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,154
Eden Gardens,Sunrisers Hyderabad,164,153,160
"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,131,140,115
Wankhede Stadium,Rajasthan Royals,166,185,189
Eden Gardens,Kolkata Knight Riders,164,159,163
Brabourne Stadium,Mumbai Indians,190,173,173
Wankhede Stadium,Kings XI Punjab,166,171,226
M Chinnaswamy Stadium,Kings XI Punjab,184,171,199
Eden Gardens,Mumbai Indians,164,173,168
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,150
Maharashtra Cricket Association Stadium,Rajasthan Royals,170,185,162
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,209
Eden Gardens,Kolkata Knight Riders,164,159,177
Feroz Shah Kotla,Delhi Daredevils,166,140,184
Wankhede Stadium,Kings XI Punjab,166,171,177
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,166
"Sardar Patel Stadium, Motera",Mumbai Indians,153,173,164
Eden Gardens,Chennai Super Kings,164,137,165
Maharashtra Cricket Association Stadium,Kings XI Punjab,170,171,165
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,159,153,127
Wankhede Stadium,Mumbai Indians,166,173,183
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,159,140,167
Maharashtra Cricket Association Stadium,Kings XI Punjab,170,171,155
"Sardar Patel Stadium, Motera",Chennai Super Kings,153,137,156
M Chinnaswamy Stadium,Mumbai Indians,184,173,209
Feroz Shah Kotla,Delhi Daredevils,166,140,146
"Sardar Patel Stadium, Motera",Rajasthan Royals,153,185,191
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,159,153,176
M Chinnaswamy Stadium,Chennai Super Kings,184,137,181
Feroz Shah Kotla,Delhi Daredevils,166,140,190
"Sardar Patel Stadium, Motera",Rajasthan Royals,153,185,130
Wankhede Stadium,Mumbai Indians,166,173,157
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,192
Feroz Shah Kotla,Delhi Daredevils,166,140,95
"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,131,153,150
Eden Gardens,Kolkata Knight Riders,164,159,171
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,134
Feroz Shah Kotla,Kings XI Punjab,166,171,118
Wankhede Stadium,Mumbai Indians,166,173,187
M Chinnaswamy Stadium,Kolkata Knight Riders,184,159,111
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,192
"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,131,173,172
Brabourne Stadium,Rajasthan Royals,190,185,189
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,148
Eden Gardens,Kolkata Knight Riders,164,159,167
Wankhede Stadium,Delhi Daredevils,166,140,152
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,226
Brabourne Stadium,Sunrisers Hyderabad,190,153,201
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,158
Eden Gardens,Kings XI Punjab,164,171,183
Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,140,153,163
Wankhede Stadium,Royal Challengers Bangalore,166,208,235
"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,156,137,157
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,185
Shaheed Veer Narayan Singh International Stadium,Chennai Super Kings,140,137,119
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,106
Wankhede Stadium,Mumbai Indians,166,173,171
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,135
"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,131,171,130
Brabourne Stadium,Rajasthan Royals,190,185,199
M Chinnaswamy Stadium,Delhi Daredevils,184,140,187
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,113
Wankhede Stadium,Mumbai Indians,166,173,187
Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,170,208,180
JSCA International Stadium Complex,Royal Challengers Bangalore,150,208,139
Eden Gardens,Mumbai Indians,164,173,202
Wankhede Stadium,Mumbai Indians,166,173,121
Eden Gardens,Delhi Daredevils,164,140,98
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,161
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,227
Eden Gardens,Kolkata Knight Riders,164,159,187
Saurashtra Cricket Association Stadium,Rising Pune Supergiants,154,139,163
Feroz Shah Kotla,Kings XI Punjab,166,171,111
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,142
Wankhede Stadium,Mumbai Indians,166,173,143
"Punjab Cricket Association IS Bindra Stadium, Mohali",Rising Pune Supergiants,176,139,152
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,191
"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,144,173,142
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,138
Wankhede Stadium,Royal Challengers Bangalore,166,208,170
Saurashtra Cricket Association Stadium,Gujarat Lions,154,149,135
Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,170,208,185
Feroz Shah Kotla,Delhi Daredevils,166,140,164
"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,144,171,143
Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,154,208,180
Maharashtra Cricket Association Stadium,Rising Pune Supergiants,170,139,160
"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,176,173,189
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,118
Feroz Shah Kotla,Gujarat Lions,166,149,172
Wankhede Stadium,Kolkata Knight Riders,166,159,174
Maharashtra Cricket Association Stadium,Rising Pune Supergiants,170,139,195
Feroz Shah Kotla,Delhi Daredevils,166,140,186
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,194
Saurashtra Cricket Association Stadium,Kings XI Punjab,154,171,154
Maharashtra Cricket Association Stadium,Rising Pune Supergiants,170,139,159
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,185
Saurashtra Cricket Association Stadium,Gujarat Lions,154,149,149
Eden Gardens,Kolkata Knight Riders,164,159,164
Feroz Shah Kotla,Delhi Daredevils,166,140,162
"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,144,149,126
M Chinnaswamy Stadium,Rising Pune Supergiants,184,139,191
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,181
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,159,153,177
Eden Gardens,Kolkata Knight Riders,164,159,158
"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,176,208,175
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,159,153,137
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,151
"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,144,153,146
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,159,173,124
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,248
Eden Gardens,Rising Pune Supergiants,164,139,103
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,176,171,179
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,159,173,206
Eden Gardens,Kolkata Knight Riders,164,159,183
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,159,140,121
M Chinnaswamy Stadium,Royal Challengers Bangalore,184,208,211
Green Park,Kolkata Knight Riders,148,159,124
Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,140,153,158
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,159,171,172
Green Park,Mumbai Indians,148,173,172
Eden Gardens,Kolkata Knight Riders,164,159,171
Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,140,140,138
M Chinnaswamy Stadium,Gujarat Lions,184,149,158
